City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Date,Wind Speed
530,Kenai,60.5544,-151.2583,31.14,93,100,US,1675723763,11.5
531,Porosozero,62.7191,32.727,1.69,100,100,RU,1675723763,3.67
532,Sola,-13.8833,167.55,80.08,71,100,VU,1675723685,5.5
533,Kieta,-6.2167,155.6333,79.77,86,100,PG,1675723764,5.7
534,Manzhouli,49.6,117.4333,-6.21,99,57,CN,1675723765,7.72
535,Rabat,33.9911,-6.8401,52.03,95,0,MA,1675723765,0.0
536,Florø,61.5996,5.0328,44.96,76,100,NO,1675723766,20.71
537,Obregon,11.9566,-85.9636,89.69,50,16,NI,1675723767,17.36
538,Nishihara,26.1842,127.7558,67.28,91,40,JP,1675723768,10.36
539,Shelburne,44.0787,-80.2041,23.79,97,62,CA,1675723769,3.58
540,Vuktyl,63.8567,57.3094,-12.26,100,95,RU,1675723769,3.71
541,Kaeo,-35.1,173.7833,75.33,78,14,NZ,1675723770,1.83
542,Mayo,38.8876,-76.5119,48.31,57,100,US,1675723770,13.8
543,Mzimba,-11.9,33.6,61.59,98,100,MW,1675723771,5.84
544,Ust-Maya,60.4167,134.5333,-35.34,99,100,RU,1675723598,2.44
545,Newport,51.5877,-2.9984,39.06,90,56,GB,1675723771,1.81
546,Corrente,-3.7367,-43.3394,72.68,98,99,BR,1675723772,3.27
547,Dingle,10.9995,122.6711,75.24,91,100,PH,1675723772,7.31
548,Devonport,-41.1667,146.35,64.09,53,0,AU,1675723772,3.22
549,Iquique,-20.2208,-70.1431,78.84,80,94,CL,1675723656,7.27
550,Karachi,24.9056,67.0822,62.42,67,0,PK,1675723542,3.44
